Customer ID,Recency,Frequency,Monetary,Avg_Basket_Size,Avg_Revenue,Purchase_Count,Tenure,Unique_Products,Unique_Countries,Avg_Purchase_Gap,Churn
12346,325,12,77556.46,6190.416666666667,6463.038333333334,74285,725,27,1,11.969696969696969,1
12347,1,8,5633.32,410.75,704.165,3286,403,126,1,1.5833333333333333,0
12348,74,5,2019.3999999999999,542.8,403.88,2714,437,25,1,7.24,0
12349,18,4,4428.6900000000005,406.0,1107.1725000000001,1624,588,138,1,3.2701149425287355,0
12350,309,1,334.40000000000003,197.0,334.40000000000003,197,309,17,1,0.0,1
12351,374,1,300.93,261.0,300.93,261,374,21,1,0.0,1
12352,35,10,2849.84,72.4,284.98400000000004,724,392,70,1,3.4607843137254903,0
12353,203,2,406.76,106.0,203.38,212,408,23,1,8.869565217391305,1
12354,231,1,1079.4,530.0,1079.4,530,231,58,1,0.0,1
12355,213,2,947.61,271.5,473.80500000000006,543,567,35,1,10.382352941176471,1
12356,22,6,6373.68,569.5,1062.28,3417,424,104,1,2.8098591549295775,0
12357,32,3,18287.66,2195.6666666666665,6095.886666666666,6587,388,261,1,1.2033898305084745,0
12358,1,5,3887.07,215.8,777.414,1079,731,56,1,9.578947368421053,0
12359,57,10,8935.94,275.2,893.5939999999998,2752,733,305,1,1.8516483516483517,0
12360,51,8,4252.89,307.375,531.6112499999999,2459,655,160,1,2.7777777777777777,0
12361,286,4,511.25,58.75,127.8125,235,681,18,1,14.035714285714286,1
12362,2,11,5356.2300000000005,202.72727272727272,486.93000000000006,2230,738,201,1,2.744360902255639,0
12363,109,2,552.0,204.0,276.0,408,241,23,1,6.0,1
12364,7,4,1313.1,376.5,328.275,1506,111,70,1,1.2261904761904763,0
12365,290,2,641.38,87.0,320.69,174,290,22,1,0.0,1
12366,633,1,500.24,296.0,500.24,296,633,3,1,0.0,1
12367,3,1,168.9,173.0,168.9,173,3,11,1,0.0,0
12368,627,1,917.7,330.0,917.7,330,627,18,1,0.0,1
12369,412,3,1791.15,413.6666666666667,597.05,1241,641,90,1,2.467391304347826,1
12370,50,7,4320.31,372.14285714285717,617.1871428571428,2605,668,168,2,3.0646766169154227,0
